id,isim,mahalle,enlem,boylam,oda_tipi,fiyat,yorum_sayisi
4947630,a nice room in an antique building,Kadikoy,40.99577,29.02935,Private room,130,0
4951689,Aksaray 'da Luks Hotel Konforunda,Fatih,41.00843,28.9492,Entire home/apt,343,9
4954748,Well Located Apartment in Aksaray,Fatih,41.00843,28.9492,Entire home/apt,343,10
4962894,room for rent for short time stays,Bakirkoy,40.97677,28.86276,Private room,192,0
4964466,A Cosy Apartment near SultanAhmet1,Fatih,41.00571,28.96611,Entire home/apt,343,39
4964727,Historic;central;balcony w sea view,Beyoglu,41.02385,28.97523,Entire home/apt,528,52
4965075,A Cosy Apartment near SultanAhmet2,Fatih,41.00373,28.96598,Entire home/apt,350,83
4966009,RED STYLISH COSY HOME IN TAXIM,Beyoglu,41.03543,28.97597,Entire home/apt,309,23
4966506,"Central, Cosy 1+1, Nice View, No602",Beyoglu,41.02399,28.97522,Entire home/apt,446,35
4970581,* True spirit of Turkish hospitality,Fatih,41.00315,28.97436,Hotel room,350,238
4975585,Room for 2 in lovely Kadikoy!,Kadikoy,40.99616,29.02845,Private room,82,0
4977925,Lovely home,Uskudar,41.00421,29.05064,Private room,233,0
4980214,Stylish 1+1 Apartment at the City Center,Beyoglu,41.03298,28.98832,Entire home/apt,302,1
4980453,Pera | Cappadocia Cave Concept (Luxury Basement),Beyoglu,41.03642,28.9752,Entire home/apt,165,58
4980539,Comfortable and Cosy Room,Besiktas,41.04112,29.00207,Private room,267,1
4981755,Sunny Large Room in Sisli,Sisli,41.06853,28.99654,Private room,171,0
4991433,"GREAT LOCATION,ROOM IN MECIDIYEKOY ",Sisli,41.0674,28.99454,Private room,48,0
4994915,istanbul 2 bedroom with tv internet,Beyoglu,41.04053,28.95437,Private room,117,0
4995235,Uskudar Loft 100 mq in ASIA side ,Uskudar,41.01109,29.01776,Entire home/apt,542,0
5004392,Moderne Studio Wohnung in Istanbul,Fatih,41.03124,28.94779,Entire home/apt,233,0
5004757,Private Room with double bed in A student flat,Kagithane,41.09969,28.99835,Private room,130,4
